Frage,Antwort,Kategorie
Wie oft besuchen Sie Wochenmärkte?,Selten,Produktvorlieben
Wie oft besuchen Sie Wochenmärkte?,Selten,Marktpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Nein,Produktvorlieben
Wie oft nutzen Sie Online-Marktplätze?,Täglich,Konsumverhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Konsumverhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Online-Verhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Nein,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Marktpräferenzen
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Gelegentlich,Marktpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Nachhaltigkeit
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Konsumverhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Wichtig,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Gelegentlich,Standortpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Produktvorlieben
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Standortpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Standortpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Ja,Online-Verhalten
Wie oft nutzen Sie Online-Marktplätze?,Wöchentlich,Produktvorlieben
Wie oft besuchen Sie Wochenmärkte?,Selten,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Produktvorlieben
Wie zufrieden sind Sie mit lokalen Märkten?,Unzufrieden,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Nie,Standortpräferenzen
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Produktvorlieben
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Konsumverhalten
Kaufen Sie oft regionale Produkte?,Ja,Konsumverhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Nein,Konsumverhalten
Wie wichtig ist Ihnen eine breite Produktpalette?,Sehr wichtig,Nachhaltigkeit
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Nachhaltigkeit
Wie wichtig ist Ihnen eine breite Produktpalette?,Unwichtig,Konsumverhalten
Wie oft kaufen Sie Bioprodukte?,Täglich,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Sehr wichtig,Online-Verhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Konsumverhalten
Wie wichtig ist Ihnen Nachhaltigkeit?,Sehr wichtig,Konsumverhalten
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Marktpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Nein,Konsumverhalten
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Marktpräferenzen
Wie wichtig ist Ihnen der Standort eines Marktes?,Unwichtig,Online-Verhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Nachhaltigkeit
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Ja,Online-Verhalten
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Produktvorlieben
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Nachhaltigkeit
Kaufen Sie oft regionale Produkte?,Nein,Standortpräferenzen
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Nachhaltigkeit
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Konsumverhalten
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Konsumverhalten
Wie oft kaufen Sie Bioprodukte?,Selten,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Zufrieden,Nachhaltigkeit
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Marktpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Standortpräferenzen
"Wären Sie bereit, mehr für nachhaltige Produkte zu bezahlen?",Vielleicht,Online-Verhalten
Wie oft besuchen Sie Wochenmärkte?,Monatlich,Marktpräferenzen
Wie wichtig ist Ihnen Nachhaltigkeit?,Unwichtig,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Konsumverhalten
Wie oft kaufen Sie Bioprodukte?,Wöchentlich,Nachhaltigkeit
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Produktvorlieben
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Online-Verhalten
Wie oft kaufen Sie Bioprodukte?,Täglich,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Standortpräferenzen
Wie oft besuchen Sie Wochenmärkte?,Selten,Marktpräferenzen
Kaufen Sie oft regionale Produkte?,Gelegentlich,Standortpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Standortpräferenzen
Kaufen Sie oft regionale Produkte?,Nein,Nachhaltigkeit
Wie wichtig ist Ihnen der Standort eines Marktes?,Wichtig,Online-Verhalten
Kaufen Sie oft regionale Produkte?,Ja,Nachhaltigkeit
Wie wichtig ist Ihnen eine breite Produktpalette?,Wichtig,Nachhaltigkeit
Wie oft besuchen Sie Wochenmärkte?,Wöchentlich,Marktpräferenzen
Würden Sie einen neuen Markt in Ihrer Nähe begrüßen?,Vielleicht,Konsumverhalten
Wie zufrieden sind Sie mit lokalen Märkten?,Sehr zufrieden,Standortpräferenzen
